year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2000,China,New Zealand,11160,1133,31806.0,2.201149167,76.99813727,0,0,0,5,1262645000,0,0,0,4,940.0,1.21E12,8.278504167,7.620930195
2001,China,New Zealand,11160,3338,32391.0,2.378750833,79.01996692,0,0,0,5,1271850000,0,0,0,5,1010.0,1.34E12,8.277068333,9.767589569
2002,China,New Zealand,11160,8481,33005.0,2.162190833,81.13540459,0,0,0,5,1280400000,0,0,0,8,1110.0,1.47E12,8.2769575,12.50685978
2003,China,New Zealand,11160,16479,34211.0,1.722099146,82.55817431,0,0,0,5,1288400000,0,0,0,12,1280.0,1.66E12,8.277036667,15.24153042
2004,China,New Zealand,11160,24215,35420.0,1.508681271,84.44896209,0,0,0,3,1296075000,0,0,1,16,1510.0,1.96E12,8.276800833,17.44008064
2005,China,New Zealand,11160,23260,36022.0,1.420273457,87.01369677,0,0,0,5,1303720000,0,0,2,18,1760.0,2.29E12,8.194316667,18.84936905
2007,China,New Zealand,11160,13535,38388.0,1.360675229,92.07920942,0,0,0,5,1317885000,0,0,2,25,2510.0,3.55E12,7.6075325,20.46084023
2008,China,New Zealand,11160,9859,37965.0,1.42272681,95.72457871,0,0,0,5,1324655000,0,0,1,30,3100.0,4.59E12,6.948655,20.67279053
2009,China,New Zealand,11160,9016,38433.0,1.600877295,97.74977682,0,0,0,5,1331260000,0,0,1,30,3680.0,5.1E12,6.831416052,22.39872932
2010,China,New Zealand,11160,9061,38803.0,1.387833828,100.0,0,0,0,5,1337705000,0,0,4,34,4340.0,6.09E12,6.770269029,24.05031013
2011,China,New Zealand,11160,10327,38804.0,1.265810697,104.0279067,0,0,0,5,1344130000,0,0,3,35,5050.0,7.55E12,6.461461327,25.29210091
2012,China,New Zealand,11160,11337,39622.0,1.234283655,105.1305122,0,0,1,5,1350695000,0,0,7,42,5930.0,8.53E12,6.312332827,28.03519058
2013,China,New Zealand,11160,12219,39111.0,1.219407974,106.3231365,0,0,0,5,1357380000,0,0,7,42,6770.0,9.57E12,6.195758346,31.45985985
2014,China,New Zealand,11160,13951,39419.0,1.205433333,107.628261,0,0,0,4,1364270000,0,0,9,44,7500.0,1.04E13,6.143434094,41.27772903
2015,China,New Zealand,11160,15009,40256.0,1.433975,107.9432939,0,0,0,2,1371220000,0,0,10,44,7910.0,1.1E13,6.227488673,45.35071945
2016,China,New Zealand,11160,16625,41765.0,1.436525,108.640867,0,0,1,4,1378665000,0,2,12,54,8210.0,1.11E13,6.644477829,48.44105148
2017,China,New Zealand,11160,17645,41954.0,1.407408333,110.6515787,0,0,0,4,1386395000,0,2,13,57,8630.0,1.21E13,6.758755086,51.00674057
2006,China,New Zealand,11160,18300,36253.0,1.542055757,89.94205743,0,0,0,5,1311020000,0,0,3,19,2060.0,2.75E12,7.973438333,20.04450035
2016,China,United States of America,11640,309837,62153.0,1.0,110.0670089,15,50,71,137,1378665000,0,2,12,54,8210.0,1.11E13,6.644477829,48.44105148
2015,China,United States of America,11640,291063,62106.0,1.0,108.695722,16,51,78,146,1371220000,0,0,10,44,7910.0,1.1E13,6.227488673,45.35071945
2014,China,United States of America,11640,260914,60618.0,1.0,108.5669321,16,52,77,146,1364270000,0,0,9,44,7500.0,1.04E13,6.143434094,41.27772903
2013,China,United States of America,11640,225474,59766.0,1.0,106.8338489,17,52,85,149,1357380000,0,0,7,42,6770.0,9.57E12,6.195758346,31.45985985
2012,China,United States of America,11640,210452,60047.0,1.0,105.2915045,17,53,85,150,1350695000,0,0,7,42,5930.0,8.53E12,6.312332827,28.03519058
2011,China,United States of America,11640,178889,59562.0,1.0,103.1568416,17,53,89,151,1344130000,0,0,3,35,5050.0,7.55E12,6.461461327,25.29210091
2010,China,United States of America,11640,126498,59477.0,1.0,100.0,17,54,89,154,1337705000,0,0,4,34,4340.0,6.09E12,6.770269029,24.05031013
2009,China,United States of America,11640,124225,58873.0,1.0,98.38641997,17,55,90,152,1331260000,0,0,1,30,3680.0,5.1E12,6.831416052,22.39872932
2008,China,United States of America,11640,110246,58401.0,1.0,98.73747739,17,54,90,159,1324655000,0,0,1,30,3100.0,4.59E12,6.948655,20.67279053
2007,China,United States of America,11640,98958,58597.0,1.0,95.08699238,17,54,88,166,1317885000,0,0,2,25,2510.0,3.55E12,7.6075325,20.46084023
2006,China,United States of America,11640,93672,57454.0,1.0,92.44970508,17,54,87,167,1311020000,0,0,3,19,2060.0,2.75E12,7.973438333,20.04450035
2003,China,United States of America,11640,92774,55460.0,1.0,84.36307882,17,55,96,172,1288400000,0,0,0,12,1280.0,1.66E12,8.277036667,15.24153042
2005,China,United States of America,11640,92370,56557.0,1.0,89.56053237,17,53,90,168,1303720000,0,0,2,18,1760.0,2.29E12,8.194316667,18.84936905
2004,China,United States of America,11640,87943,56490.0,1.0,86.62167812,17,51,90,170,1296075000,0,0,1,16,1510.0,1.96E12,8.276800833,17.44008064
2002,China,United States of America,11640,63211,54788.0,1.0,82.49046688,18,56,97,175,1280400000,0,0,0,8,1110.0,1.47E12,8.2769575,12.50685978
2001,China,United States of America,11640,51986,54360.0,1.0,81.20256846,18,56,99,177,1271850000,0,0,0,5,1010.0,1.34E12,8.277068333,9.767589569
2000,China,United States of America,11640,50281,53904.0,1.0,78.97072076,18,56,100,179,1262645000,0,0,0,4,940.0,1.21E12,8.278504167,7.620930195
1999,China,United States of America,11640,46949,53649.0,1.0,76.39110227,18,57,102,182,1252735000,0,0,0,0,860.0,1.09E12,8.27825,6.456950188
1998,China,United States of America,11640,43000,53148.0,1.0,74.75543306,18,57,103,185,1241935000,0,0,0,0,800.0,1.03E12,8.278958333,5.950950146
