year,source_country,destination_country,dst_distance,dst_students_count,dst_average_wage,dst_rate_of_one_usd,dst_cpi,dst_qoe_top20,dst_qoe_top100,dst_qoe_top200,dst_qoe_top500,src_population,src_qoe_top20,src_qoe_top100,src_qoe_top200,src_qoe_top500,src_gni,src_gdp,src_rate_of_one_usd,src_tertiary_enrolment
2007,China,New Zealand,11160,13535,38388.0,1.360675229,92.07920942,0,0,0,5,1317885000,0,0,2,25,2510.0,3550000000000.0,7.6075325,20.46084023
2008,China,New Zealand,11160,9859,37965.0,1.42272681,95.72457871,0,0,0,5,1324655000,0,0,1,30,3100.0,4590000000000.0,6.948655,20.67279053
2009,China,New Zealand,11160,9016,38433.0,1.600877295,97.74977682,0,0,0,5,1331260000,0,0,1,30,3680.0,5100000000000.0,6.831416052,22.39872932
2010,China,New Zealand,11160,9061,38803.0,1.387833828,100.0,0,0,0,5,1337705000,0,0,4,34,4340.0,6090000000000.0,6.770269029,24.05031013
2011,China,New Zealand,11160,10327,38804.0,1.265810697,104.0279067,0,0,0,5,1344130000,0,0,3,35,5050.0,7550000000000.0,6.461461327,25.29210091
2012,China,New Zealand,11160,11337,39622.0,1.234283655,105.1305122,0,0,1,5,1350695000,0,0,7,42,5930.0,8530000000000.0,6.312332827,28.03519058
2013,China,New Zealand,11160,12219,39111.0,1.219407974,106.3231365,0,0,0,5,1357380000,0,0,7,42,6770.0,9570000000000.0,6.195758346,31.45985985
2014,China,New Zealand,11160,13951,39419.0,1.205433333,107.628261,0,0,0,4,1364270000,0,0,9,44,7500.0,10400000000000.0,6.143434094,41.27772903
2015,China,New Zealand,11160,15009,40256.0,1.433975,107.9432939,0,0,0,2,1371220000,0,0,10,44,7910.0,11000000000000.0,6.227488673,45.35071945
2016,China,New Zealand,11160,16625,41765.0,1.436525,108.640867,0,0,1,4,1378665000,0,2,12,54,8210.0,11100000000000.0,6.644477829,48.44105148
2017,China,New Zealand,11160,17645,41954.0,1.407408333,110.6515787,0,0,0,4,1386395000,0,2,13,57,8630.0,12100000000000.0,6.758755086,51.00674057
2006,China,New Zealand,11160,18300,36253.0,1.542055757,89.94205743,0,0,0,5,1311020000,0,0,3,19,2060.0,2750000000000.0,7.973438333,20.04450035
2016,China,United States of America,11640,309837,62153.0,1.0,110.0670089,15,50,71,137,1378665000,0,2,12,54,8210.0,11100000000000.0,6.644477829,48.44105148
2015,China,United States of America,11640,291063,62106.0,1.0,108.695722,16,51,78,146,1371220000,0,0,10,44,7910.0,11000000000000.0,6.227488673,45.35071945
2014,China,United States of America,11640,260914,60618.0,1.0,108.5669321,16,52,77,146,1364270000,0,0,9,44,7500.0,10400000000000.0,6.143434094,41.27772903
2013,China,United States of America,11640,225474,59766.0,1.0,106.8338489,17,52,85,149,1357380000,0,0,7,42,6770.0,9570000000000.0,6.195758346,31.45985985
2012,China,United States of America,11640,210452,60047.0,1.0,105.2915045,17,53,85,150,1350695000,0,0,7,42,5930.0,8530000000000.0,6.312332827,28.03519058
2011,China,United States of America,11640,178889,59562.0,1.0,103.1568416,17,53,89,151,1344130000,0,0,3,35,5050.0,7550000000000.0,6.461461327,25.29210091
2010,China,United States of America,11640,126498,59477.0,1.0,100.0,17,54,89,154,1337705000,0,0,4,34,4340.0,6090000000000.0,6.770269029,24.05031013
2009,China,United States of America,11640,124225,58873.0,1.0,98.38641997,17,55,90,152,1331260000,0,0,1,30,3680.0,5100000000000.0,6.831416052,22.39872932
2008,China,United States of America,11640,110246,58401.0,1.0,98.73747739,17,54,90,159,1324655000,0,0,1,30,3100.0,4590000000000.0,6.948655,20.67279053
2007,China,United States of America,11640,98958,58597.0,1.0,95.08699238,17,54,88,166,1317885000,0,0,2,25,2510.0,3550000000000.0,7.6075325,20.46084023
2006,China,United States of America,11640,93672,57454.0,1.0,92.44970508,17,54,87,167,1311020000,0,0,3,19,2060.0,2750000000000.0,7.973438333,20.04450035
2003,China,United States of America,11640,92774,55460.0,1.0,84.36307882,17,55,96,172,1288400000,0,0,0,12,1280.0,1660000000000.0,8.277036667,15.24153042
2005,China,United States of America,11640,92370,56557.0,1.0,89.56053237,17,53,90,168,1303720000,0,0,2,18,1760.0,2290000000000.0,8.194316667,18.84936905
2004,China,United States of America,11640,87943,56490.0,1.0,86.62167812,17,51,90,170,1296075000,0,0,1,16,1510.0,1960000000000.0,8.276800833,17.44008064
2002,China,United States of America,11640,63211,54788.0,1.0,82.49046688,18,56,97,175,1280400000,0,0,0,8,1110.0,1470000000000.0,8.2769575,12.50685978
2001,China,United States of America,11640,51986,54360.0,1.0,81.20256846,18,56,99,177,1271850000,0,0,0,5,1010.0,1340000000000.0,8.277068333,9.767589569
2000,China,United States of America,11640,50281,53904.0,1.0,78.97072076,18,56,100,179,1262645000,0,0,0,4,940.0,1210000000000.0,8.278504167,7.620930195
1999,China,United States of America,11640,46949,53649.0,1.0,76.39110227,18,57,102,182,1252735000,0,0,0,0,860.0,1090000000000.0,8.27825,6.456950188
1998,China,United States of America,11640,43000,53148.0,1.0,74.75543306,18,57,103,185,1241935000,0,0,0,0,800.0,1030000000000.0,8.278958333,5.950950146
2017,India,Australia,7809,51976,53507.0,1.304758077,115.6867846,0,6,10,23,1338658835,0,0,0,1,1830.0,2650000000000.0,65.12156865,27.54030991
2016,India,Australia,7809,46316,53972.0,1.345213976,113.4755463,0,6,8,23,1324509589,0,0,0,1,1690.0,2290000000000.0,67.19531281,26.92859077
2015,India,Australia,7809,36892,53946.0,1.331090262,112.0447451,0,4,8,20,1310152403,0,0,0,1,1600.0,2100000000000.0,64.15194446,26.87558937
2014,India,Australia,7809,25562,54392.0,1.109363293,110.3798127,0,4,8,19,1295604184,0,0,0,1,1560.0,2040000000000.0,61.02951446,25.5373497
2013,India,Australia,7809,16150,53977.0,1.035843097,107.7003122,0,5,7,19,1280846129,0,0,0,1,1520.0,1860000000000.0,58.59784542,23.89487076
2012,India,Australia,7809,11684,54226.0,0.965801031,105.1248699,0,5,7,19,1265782790,0,0,0,1,1480.0,1830000000000.0,53.43723333,24.37171936
2011,India,Australia,7809,14091,53906.0,0.969463201,103.3038502,0,4,7,19,1250288729,0,0,0,1,1360.0,1820000000000.0,46.67046667,22.86528015
2010,India,Australia,7809,20429,52253.0,1.090159486,100.0,0,3,7,17,1234281170,0,0,0,2,1220.0,1680000000000.0,45.72581212,17.91488075
2009,India,Australia,7809,26573,50511.0,1.28218881,97.16441207,0,3,6,17,1217726215,0,0,0,2,1120.0,1340000000000.0,48.40526667,16.10565948
2008,India,Australia,7809,26520,50973.0,1.192178333,95.47346514,0,3,6,15,1200669765,0,0,0,2,1000.0,1200000000000.0,43.50518333,15.11898994
